Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
Unnamed Property,Near Kaka Dhaba Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,500,4000,3,1,1,22,25882.35294
Aaron Moreshwar complex ,Plot Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,7681,6,1,1,53,62352.94118
Space India Alliance ,Walking From Station Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680,8823,13,1,2,60,70588.23529
Space India Alliance ,New Project Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050,8380,13,2,2,88,103529.4118
Sun Bhoomi Heights ,Near Kk Cinema Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1650,7575,5,3,3,125,147058.8235
Unnamed Property,Shahpur Mumbai Beyond Thane Mumbai,Shahapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100,2727,2,2,2,30,35294.11765
Unnamed Property,Santacruz West Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1400,65000,7,3,3,910,1070588.235
Nidhi Pramila Avenue ,Titwala Mumbai Beyond Thane Mumbai,Titwala Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650,5930,7,1,1,25.5,30000
Mahavir Kalpavruksha ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,430,13720,15,1,2,59,69411.76471
Unique Poonam Estate Cluster 2 ,180 Mira Road Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,1040,11057,18,2,2,115,135294.1176
Lok Sarita ,Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,520,20769,5,1,1,108,127058.8235
Aryan One ,A Wing Flat No 308 Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,758,4485,3,1,1,34,40000
Snow Drop ,IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,420,27380,4,1,2,115,135294.1176
Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,670,6716,15,1,2,45,52941.17647
Unnamed Property,D 002 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Built Up Area,578,3979,0,1,2,23,27058.82353
Vijay Galaxy ,1306 Vijay Nagari Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,650,17692,13,2,2,115,135294.1176
Lodha New Cuffe Parade ,3601 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395,20071,36,2,2,280,329411.7647
Unnamed Property,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,1450,12275,9,3,3,175,205882.3529
Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,700,7857,3,1,2,55,64705.88235
Raunak Delight ,Owale Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,575,8347,8,1,1,48,56470.58824
Raunak Unnathi Greens ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,660,7121,13,1,2,47,55294.11765
Puraniks Hometown ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,438,13470,10,1,2,59,69411.76471
Reliable Balaji Shrishti ,Sector 20 Roadpali Navi Mumbai Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1090,7889,6,2,2,86,101176.4706
Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,405,7654,1,1,1,31,36470.58824
Budget Homes The Nest ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,270,22222,11,1,1,60,70588.23529
The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935,6844,4,2,2,64,75294.11765
Unnamed Property,Lokpuram Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,565,11681,3,1,1,66,77647.05882
Satyam Heritage ,201 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100,15454,2,2,2,170,200000
Sai Vihar CHS ,1003 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1164,9450,10,2,2,110,129411.7647
Rupa Suyash Park ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,7500,6,2,2,90,105882.3529
Silverlite 56 West ,Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,684,40204,1,2,3,275,323529.4118
Unnamed Property,Pokhran 2 Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,798,25689,26,2,2,205,241176.4706
Balaji Delta Tower 2 ,Sector 8 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1345,9442,6,2,2,127,149411.7647
Unnamed Property,Flat No A 1702 A Wing S V P Nagar Plot No 24 Mhada Versova Mumbai,Versova Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1010,21287,17,3,3,215,252941.1765
M K Fatima Heights ,Bhendi Bazaar South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460,28260,11,1,2,130,152941.1765
Unnamed Property,Mulund East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,480,22916,16,1,1,110,129411.7647
Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,540,12800,3,1,2,80,94117.64706
Lodha Palava City ,0000 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,764,8507,1,2,2,65,76470.58824
Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,900,31111,15,2,2,280,329411.7647
Unnamed Property,Gopinath Chowk Mahatma Phule Road Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1035,8212,6,2,2,85,100000
Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,569,13181,10,1,2,75,88235.29412
BM Bunch Berry ,105 Sai Nagar Mumbai,Sai Nagar,10+ Year,Ready To Move,Built Up Area,350,23571,1,1,1,82.5,97058.82353
Vijaya Heritage ,Central Avenue Road Near Diamond Garden Chembur Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1800,22166,10,3,3,399,469411.7647
Sukhsagar Residency ,B1 303 Anu Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,400,10000,3,1,1,45,52941.17647
Unnamed Property,Sector 1 Koparkhairane Sector 1 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Plot Area,200,34500,3,3,3,69,81176.47059
Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Super Built Up Area,806,10669,2,2,2,86,101176.4706
Ravechi Height ,111 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,9202,11,1,2,63.5,74705.88235
Paradigm Ananda Residency ,Shivaji Nagar Mumbai,Shivaji Nagar,1 to 5 Year,Ready To Move,Carpet Area,665,27067,13,2,2,180,211764.7059
Unnamed Property,Near Kandarpada Talav Dahisar West Kandarpada Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,300,21666,2,1,1,65,76470.58824
Juhi Residency ,Sector 5 Kamothe Sector 5 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1200,13000,12,2,2,104,122352.9412
Gundecha Asta ,Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,900,22222,7,3,2,200,235294.1176
Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390,9743,11,1,2,38,44705.88235
Aastha Palace ,Sector 16 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,725,11836,15,1,2,58,68235.29412
Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675,9555,6,1,1,64.5,75882.35294
Poonam Pallazo ,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,315,9523,1,1,1,30,35294.11765
Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,5 to 10 Year,Ready To Move,Super Built Up Area,700,15230,3,2,2,99,116470.5882
Rekhi Sai Daffodils ,0000 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080,7222,5,2,2,78,91764.70588
Vikas Ritz ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,602,11627,2,2,2,70,82352.94118
Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1300,16153,3,3,2,210,247058.8235
Hiranandani Jasper ,9001 Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,750,19333,9,2,2,145,170588.2353
Divya Heights ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060,5188,7,2,2,55,64705.88235
Urja Green Valley Feather ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700,5714,9,1,1,40,47058.82353
Saj Shrushti ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,620,4032,3,1,1,25,29411.76471
Unnamed Property,Sector 11 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,750,28800,14,2,2,216,254117.6471
Unnamed Property,Malad West Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,711,15471,1,2,2,110,129411.7647
Unnamed Property,Near Sbi Bank Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,710,8239,9,1,1,58.5,68823.52941
Pushp Kalash Apartment ,Near Neelkanth Sweets Kamothe Sector 16 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1015,7192,11,2,2,73,85882.35294
Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1265,22134,22,3,3,280,329411.7647
Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,645,27131,21,2,2,175,205882.3529
Unnamed Property,Sector 5 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,515,11262,4,1,1,58,68235.29412
Shah Royale ,Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1040,13076,4,2,2,136,160000
Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,680,4852,4,1,1,33,38823.52941
Ajmera New Era ,Opp Kdmc Bus Depot Murbad Road Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711,6615,6,1,2,48,56470.58824
Piramal Vaikunth ,3 Bhk New Flat Available Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Built Up Area,1670,17964,7,3,3,300,352941.1765
Hiranandani Atlantis ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,762,48556,16,2,2,370,435294.1176
Paradise Sai Solitaire ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2015,8684,10,3,3,175,205882.3529
Rustomjee Azziano ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Built Up Area,1048,15267,33,2,2,160,188235.2941
Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1135,25991,13,3,2,295,347058.8235
Earth Aditya Heights ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10476,13,2,2,110,129411.7647
Unnamed Property,501 Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,300,18333,5,1,1,55,64705.88235
Balaji Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1200,10583,18,2,2,127,149411.7647
Siddharth Geetanjali Sujay ,Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,10526,9,3,3,170,200000
Windfield Keshav Winds ,Owe Village Navi Mumbai Mumbai,Village Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100,9046,16,2,2,99.5,117058.8235
Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,640,26250,2,1,1,168,197647.0588
Dosti Imperia ,3 Bhk Hill Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1835,14604,22,3,3,268,315294.1176
Shital Tapovan Heights ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,670,8955,9,1,2,60,70588.23529
Navkaar Rabiya Residency ,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,525,4952,4,1,1,26,30588.23529
Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,580,6379,1,1,1,37,43529.41176
Unnamed Property,Sector 30 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,750,22666,13,2,2,170,200000
Cosmos Empress Park ,1104 Anand Nagar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1050,10000,11,2,2,105,123529.4118
Unnamed Property,101 Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Plot Area,2700,27777,2,4,4,750,882352.9412
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,384,36197,8,1,2,139,163529.4118
The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,665,6766,0,1,1,45,52941.17647
Marathon Nexzone ,000 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215,7160,28,2,2,87,102352.9412
Siddhivinayak Garima ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,980,5051,4,2,2,49.5,58235.29412
Unnamed Property,700 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1050,10285,15,2,2,108,127058.8235
Dnyaneshawari Apartments ,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,950,12105,7,2,2,115,135294.1176
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,753,25763,14,2,3,194,228235.2941
Mallhar Bhimashankar Heights ,New Link Road Kandarpada Dahisar West Kandarpada Mumbai,Dahisar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,753,23904,19,2,2,180,211764.7059
Veda CHS ,IC Colony Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,420,21428,5,1,1,90,105882.3529
Chheda Palladium ,Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,935,32085,13,3,3,300,352941.1765
Kohinoor Majestic ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,636,12421,6,2,1,79,92941.17647
Kings Court by TCJ Realty ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,765,10718,3,2,2,82,96470.58824
Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,651,8448,1,2,2,55,64705.88235
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1307,16220,4,2,2,212,249411.7647
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1919,16466,6,3,3,316,371764.7059
Sai Prasad Residency ,704 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,665,9774,4,1,1,65,76470.58824
Indiabulls Greens ,007 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,891,7744,14,2,2,69,81176.47059
Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,430,10813,3,1,2,46.5,54705.88235
Orovia Phase 1 ,121 Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,771,16083,3,2,2,124,145882.3529
Unnamed Property,Malad West Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1500,14000,7,4,4,210,247058.8235
Rna NG Suncity Phase 3 ,Thakur Village Mumbai,Thakur Village,5 to 10 Year,Ready To Move,Super Built Up Area,990,12626,8,2,2,125,147058.8235
Lokhandwala Spring Leaf ,Lokhandwala Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,425,16000,2,1,1,68,80000
Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,600,15333,3,1,1,92,108235.2941
Hiranandani Northside ,Hiranandani Meadows Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,1780,19101,8,3,3,340,400000
Tharwanis Rosa Bella ,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1170,8803,17,2,2,103,121176.4706
Status Vihar ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1200,7333,5,2,2,88,103529.4118
Proviso Complex ,Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1600,9062,6,3,3,145,170588.2353
Uma Elements ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,730,4794,11,1,2,35,41176.47059
Unnamed Property,Sector 17 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,750,9066,1,1,1,68,80000
Mittal Tower CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,650,18461,4,2,2,120,141176.4706
Ajmera Aeon ,1603 Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1995,23909,16,3,4,477,561176.4706
Unnamed Property,Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Built Up Area,625,13280,7,1,2,83,97647.05882
Amar New Tashkent Terrace CHSL ,Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,761,30000,7,2,2,228,268235.2941
Amar New Tashkent Terrace CHSL ,Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1472,30000,7,4,4,442,520000
Laxmi Avenue D Global City ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,645,4496,6,1,2,29,34117.64706
Sahakar Premier ,202 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1060,7735,2,2,2,82,96470.58824
One Hiranandani Park ,1303 Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,559,27728,5,2,2,155,182352.9412
Hiranandani Gardens Richmond Tower ,Hiranandani Gardens Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,5000,33000,6,5,6,1650,1941176.471
Unnamed Property,Hiranandani Gardens Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2100,41666,15,3,4,875,1029411.765
Unnamed Property,Hiranandani Gardens Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2500,44000,14,4,5,1100,1294117.647
Hiranandani Castle Rock ,Hiranandani Gardens Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1250,25920,12,2,2,324,381176.4706
Rustomjee Avenue L1 L2 and L4 ,Virar West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,432,7407,9,1,1,32,37647.05882
Agarwal Solitaire ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,920,4836,4,2,2,44.5,52352.94118
Nahars Amrit Shakti ,Nahar Amrit Shakti r 12 Sector chandivali Film Studio chandivali Farm Road andheri E mumbai 400072 Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1313,20944,16,3,2,275,323529.4118
Regency Towers ,503 Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,1150,11304,5,2,2,130,152941.1765
Om Shree Apartment ,110 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,645,11937,7,1,1,77,90588.23529
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1850,9081,3,3,3,168,197647.0588
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1350,9777,10,2,2,132,155294.1176
Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,670,8955,2,2,2,60,70588.23529
Paradise Sai Crystals ,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1175,9361,7,2,2,110,129411.7647
Unnamed Property,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1600,8312,10,3,3,133,156470.5882
Adani Western Heights ,000 4 Bunglows Mumbai,Bunglows Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1220,57377,25,4,3,700,823529.4118
Agarwal Solitaire ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,645,4728,4,1,2,30.5,35882.35294
Kalpataru Sunrise ,Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1645,15197,10,3,3,250,294117.6471
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1024,28320,8,2,2,290,341176.4706
Valencia Apartment ,203 Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,550,20909,2,1,2,115,135294.1176
Today Global Genesis ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1135,8810,7,2,2,100,117647.0588
Shreeji Arcade ,Sector 9 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1465,8873,11,3,3,130,152941.1765
Platinum Balaji Heights ,Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1200,6833,3,2,2,82,96470.58824
Kalpataru Srishti ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,827,16324,3,3,2,135,158823.5294
Giriraj Silver Star ,503 Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,650,9923,6,1,1,64.5,75882.35294
SKD Pinnacolo ,Pinnacolo Bravely Park Kankia Road Mira Road Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,765,14960,1,1,2,76,89411.76471
Amisha Empire ,Hatkesh Udhog Nagar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1080,8862,9,2,2,95.7,112588.2353
Prithvi Pride ,Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,642,13705,5,2,2,88,103529.4118
Marathon Nexzone ,602 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,825,7515,14,2,2,62,72941.17647
