Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Godrej Tranquil ,702 Kandivali East Mumbai,1.9 Crore,300347,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,63.26,Kandivali Mumbai,190,19.2103809,72.8640837,2235.294118
Gundecha Greens ,504 Thakur Village Mumbai,1.54 Crore,23439,Carpet Area,2,2,5,0 to 1 Year,Ready To Move,657,Thakur Village,154,19.2097189,72.8759248,1811.764706
Unnamed Property,Kamothe Navi Mumbai Mumbai,80 Lac,12307,Carpet Area,2,2,2,5 to 10 Year,Ready To Move,650,Kamothe Navi-Mumbai,80,19.0173837,73.0954838,941.1764706
Dosti Desire ,1203 Brahmand Thane Mumbai,2.4 Crore,18897,Carpet Area,4,4,12,5 to 10 Year,Ready To Move,1270,Brahmand Thane,240,19.2406201,72.98144752,2823.529412
Soham Tropical Lagoon ,1402 kavesar Thane Mumbai,2.1 Crore,16800,Carpet Area,3,3,14,1 to 5 Year,Ready To Move,1250,Kavesar Thane,210,19.2623339,72.9722476,2470.588235
Unnamed Property,Sector 19 Kamothe Navi Mumbai Mumbai,85 Lac,7589,Built Up Area,2,2,4,5 to 10 Year,Ready To Move,1120,Kamothe Navi-Mumbai,85,19.0173837,73.0954838,1000
Golders Green CHS ,IC Colony Mumbai,1.28 Crore,21333,Carpet Area,2,2,2,10+ Year,Ready To Move,600,Ic Colony,128,19.2474742,72.8480292,1505.882353
Chheda Palladium ,Borivali West Mumbai,3.1 Crore,31472,Carpet Area,3,3,4,1 to 5 Year,Ready To Move,985,Borivali Mumbai,310,19.2294561,72.8479905,3647.058824
Runwal Elina ,Sakinaka Mumbai,2.25 Crore,21266,Carpet Area,3,3,7,1 to 5 Year,Ready To Move,1058,Sakinaka Mumbai,225,19.1008628,72.8798081,2647.058824
Unnamed Property,1006 Dombivli East Thane Mumbai,33 Lac,4621,Built Up Area,1,1,0,1 to 5 Year,Ready To Move,714,Dombivli Thane,33,19.2111814,73.091129,388.2352941
Indiabulls Greens ,003 Panvel Navi Mumbai Mumbai,94 Lac,5562,Super Built Up Area,3,3,20,1 to 5 Year,Ready To Move,1690,Panvel Navi-Mumbai,94,19.0298386,73.0308805,1105.882353
