Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Unnamed Property,Rodas Enclave Hiranandani Estate Thane Mumbai,5.5 Crore,27227,Carpet Area,4,4,29,1 to 5 Year,Ready To Move,2020,Hiranandani-Estate Thane,550,19.25830915,72.98701899,6470.588235
Hiranandani-Estate Canary ,Canary Patlipada Thane Mumbai,1.98 Crore,22525,Carpet Area,3,2,23,5 to 10 Year,Ready To Move,879,Patlipada Thane,198,19.2597055,72.98359793,2329.411765
Hiranandani Lavinia ,Hiranandani Estate Thane Mumbai,85 Lac,20190,Carpet Area,1,2,12,1 to 5 Year,Ready To Move,421,Hiranandani-Estate Thane,85,19.2570093,72.9839263,1000
Unnamed Property,Kharghar Navi Mumbai Mumbai,40 Lac,6451,Built Up Area,1,1,1,5 to 10 Year,Ready To Move,620,Kharghar Navi-Mumbai,40,19.025773,73.05918453,470.5882353
Shree Rajal Enclave ,701 Ghansoli Navi Mumbai Mumbai,75 Lac,10869,Super Built Up Area,1,1,7,5 to 10 Year,Ready To Move,690,Ghansoli Navi-Mumbai,75,19.1193307,72.9995096,882.3529412
Unnamed Property,Kharghar Navi Mumbai Mumbai,55 Lac,8148,Built Up Area,1,1,1,1 to 5 Year,Ready To Move,675,Kharghar Navi-Mumbai,55,19.025773,73.05918453,647.0588235
Om Prabhu Manohar ,Seawoods Sector 50 Seawoods Navi Mumbai Mumbai,90 Lac,12857,Super Built Up Area,1,1,13,1 to 5 Year,Ready To Move,700,Seawoods Navi-Mumbai,90,19.0077555,73.0171989,1058.823529
RNA NG Eclat ,000 Andheri West Mumbai,4.5 Crore,40250,Carpet Area,3,3,15,0 to 1 Year,Ready To Move,1118,Andheri Mumbai,450,19.1172495,72.833968,5294.117647
Unnamed Property,Seawoods Navi Mumbai Mumbai,1.7 Crore,14782,Built Up Area,2,2,2,0 to 1 Year,Ready To Move,1150,Seawoods Navi-Mumbai,170,19.0221923,73.01873757,2000
The Rutu Estate ,Brahmand Thane Mumbai,62 Lac,10973,Super Built Up Area,1,1,1,10+ Year,Ready To Move,565,Brahmand Thane,62,19.2469649,72.9818412,729.4117647
Kabra Happy Valley ,Manpada Thane Mumbai,71.5 Lac,12434,Super Built Up Area,1,1,7,10+ Year,Ready To Move,575,Manpada Thane,71.5,19.2353185,72.9759496,841.1764706
The Park Residences ,Oshiwara Mumbai,4.85 Crore,44090,Carpet Area,3,3,40,0 to 1 Year,Ready To Move,1100,Oshiwara Mumbai,485,19.1502437,72.8342294,5705.882353
Unnamed Property,Jogeshwari West Mumbai,1.7 Crore,8947,Carpet Area,2,2,4,5 to 10 Year,Ready To Move,1900,Jogeshwari Mumbai,170,19.136394,72.8373817,2000
RNA NG Eclat ,Andheri West Mumbai,3.85 Crore,34436,Carpet Area,3,3,28,1 to 5 Year,Ready To Move,1118,Andheri Mumbai,385,19.1172495,72.833968,4529.411765
Adani Western Heights ,4 Bunglows Mumbai,4.7 Crore,27647,Super Built Up Area,3,3,12,1 to 5 Year,Ready To Move,1700,Bunglows Mumbai,470,19.0444711,72.91006,5529.411765
Neminath Imperia ,SV Patel Nagar Mumbai,2.1 Crore,27631,Carpet Area,2,2,21,1 to 5 Year,Ready To Move,760,Patel Nagar,210,19.1401182,72.8207223,2470.588235
Unnamed Property,Oshiwara Mumbai,2.25 Crore,18750,Carpet Area,3,3,7,1 to 5 Year,Ready To Move,1200,Oshiwara Mumbai,225,19.1502437,72.8342294,2647.058824
Lodha Casa Essenza ,Western Express Highway Dahisar East Mumbai,71.78 Lac,12270,Super Built Up Area,1,1,5,1 to 5 Year,Ready To Move,585,Highway Dahisar,71.8,19.2477092,72.8649989,844.7058824
Lodha Aqua ,Western Express Highway Dahisar East Mumbai,1.21 Crore,11757,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1027,Highway Dahisar,121,19.2477092,72.8649989,1423.529412
Hiranandani Eagleridge ,Eagleridge Hiranandani Estate Hiranandani Estate Thane Mumbai,2.45 Crore,28823,Carpet Area,3,2,3,0 to 1 Year,Ready To Move,850,Hiranandani-Estate Thane,245,19.2587956,72.98196352,2882.352941
Lodha Lakeshore Greens ,801 Dombivli East Thane Mumbai,53.5 Lac,4863,Super Built Up Area,2,2,8,1 to 5 Year,Ready To Move,1100,Dombivli Thane,53.5,19.2111814,73.091129,629.4117647
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,57 Lac,5181,Super Built Up Area,2,2,4,1 to 5 Year,Ready To Move,1100,Dombivli Thane,57,19.2111814,73.091129,670.5882353
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,42.5 Lac,4166,Super Built Up Area,2,2,9,1 to 5 Year,Ready To Move,1020,Dombivli Thane,42.5,19.2111814,73.091129,500
Unnamed Property,Dombivli East Thane Mumbai,44 Lac,4214,Super Built Up Area,2,2,12,1 to 5 Year,Ready To Move,1044,Dombivli Thane,44,19.2111814,73.091129,517.6470588
Acme Ozone ,Manpada Thane Mumbai,1.35 Crore,18960,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,712,Manpada Thane,135,19.2353185,72.9759496,1588.235294
Acme Ozone ,Manpada Thane Mumbai,1.8 Crore,17291,Carpet Area,3,3,12,0 to 1 Year,Ready To Move,1041,Manpada Thane,180,19.2353185,72.9759496,2117.647059
Unnamed Property,Dombivli East Thane Mumbai,45 Lac,7075,Carpet Area,2,2,4,1 to 5 Year,Ready To Move,636,Dombivli Thane,45,19.2111814,73.091129,529.4117647
Unnamed Property,Dombivli East Thane Mumbai,47 Lac,7389,Carpet Area,2,2,10,1 to 5 Year,Ready To Move,636,Dombivli Thane,47,19.2111814,73.091129,552.9411765
Unnamed Property,604 Dombivli East Thane Mumbai,37 Lac,5075,Built Up Area,1,1,6,1 to 5 Year,Ready To Move,729,Dombivli Thane,37,19.2111814,73.091129,435.2941176
AO f Residences ,Malad East Mumbai,2.9 Crore,27001,Carpet Area,3,3,31,0 to 1 Year,Ready To Move,1074,Malad Mumbai,290,19.1860219,72.8563181,3411.764706
AO f Residences ,Malad East Mumbai,1.9 Crore,26063,Carpet Area,2,2,31,0 to 1 Year,Ready To Move,729,Malad Mumbai,190,19.1860219,72.8563181,2235.294118
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,1.66 Crore,12779,Super Built Up Area,2,2,5,0 to 1 Year,Ready To Move,1299,Ghansoli Navi-Mumbai,166,19.1193307,72.9995096,1952.941176
Unnamed Property,Mahavir Nagar Mumbai,1.07 Crore,25176,Carpet Area,1,2,6,5 to 10 Year,Ready To Move,425,Mahavir Nagar,107,19.2147989,72.84672605,1258.823529
Unnamed Property,Ghansoli Navi Mumbai Mumbai,2.66 Crore,26626,Carpet Area,3,3,37,1 to 5 Year,Ready To Move,999,Ghansoli Navi-Mumbai,266,19.1193307,72.9995096,3129.411765
AO f Residences ,Malad East Mumbai,2.8 Crore,26063,Carpet Area,3,3,20,0 to 1 Year,Ready To Move,1074.3,Malad Mumbai,280,19.1860219,72.8563181,3294.117647
Hiranandani Lavinia ,Hiranandani Estate Thane Mumbai,95 Lac,19000,Carpet Area,2,2,12,1 to 5 Year,Ready To Move,500,Hiranandani-Estate Thane,95,19.2570093,72.9839263,1117.647059
Unnamed Property,1401 Hiranandani Estate Thane Mumbai,88 Lac,20952,Carpet Area,1,2,0,1 to 5 Year,Ready To Move,420,Hiranandani-Estate Thane,88,19.2570093,72.9839263,1035.294118
Gokuldham Complex ,Goregaon East Mumbai,90 Lac,23684,Carpet Area,1,1,0,10+ Year,Ready To Move,380,Goregaon Mumbai,90,19.1692623,72.8552548,1058.823529
K Raheja Heights ,Malad East Mumbai,1.9 Crore,26425,Carpet Area,2,2,3,5 to 10 Year,Ready To Move,719,Malad Mumbai,190,19.1860219,72.8563181,2235.294118
Unnamed Property,Goregaon East Mumbai,88 Lac,23157,Carpet Area,1,1,1,10+ Year,Ready To Move,380,Goregaon Mumbai,88,19.1692623,72.8552548,1035.294118
SD Alpine ,2702 Kandivali East Mumbai,2.35 Crore,30322,Super Built Up Area,2,2,27,1 to 5 Year,Ready To Move,1075,Kandivali Mumbai,235,19.2103809,72.8640837,2764.705882
SD Alpine ,Kandivali East Mumbai,2.4 Crore,30967,Carpet Area,2,2,31,1 to 5 Year,Ready To Move,775,Kandivali Mumbai,240,19.2103809,72.8640837,2823.529412
SD Alpine ,Kandivali East Mumbai,2.45 Crore,20264,Super Built Up Area,2,2,32,1 to 5 Year,Ready To Move,1209,Kandivali Mumbai,245,19.2103809,72.8640837,2882.352941
SD Epsilon Tower ,Thakur Village Mumbai,3.4 Crore,26153,Super Built Up Area,3,3,31,1 to 5 Year,Ready To Move,1300,Thakur Village,340,19.2097189,72.8759248,4000
Raj Rudraksha ,502 Dahisar East Mumbai,1.19 Crore,19101,Carpet Area,2,2,5,0 to 1 Year,Ready To Move,623,Dahisar Mumbai,119,19.2486925,72.8640593,1400
Unnamed Property,Thane West Thane Mumbai,87 Lac,8487,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1025,Thane Thane,87,19.03160615,73.0142513,1023.529412
Unnamed Property,Sector 15 Koparkhairane Navi Mumbai Mumbai,1.05 Crore,10500,Super Built Up Area,2,2,2,10+ Year,Ready To Move,1000,Koparkhairane Navi-Mumbai,105,19.1058398,72.999981,1235.294118
Vinayak Garden ,Dombivli East Thane Mumbai,19.2 Lac,4800,Built Up Area,1,1,3,0 to 1 Year,Ready To Move,400,Dombivli Thane,19.2,19.2111814,73.091129,225.8823529
Vinayak Garden ,Dombivli East Thane Mumbai,19.2 Lac,4740,Built Up Area,1,1,2,0 to 1 Year,Ready To Move,405,Dombivli Thane,19.2,19.2111814,73.091129,225.8823529
Vinayak Garden ,Dombivli East Thane Mumbai,19 Lac,4750,Built Up Area,1,1,3,0 to 1 Year,Ready To Move,400,Dombivli Thane,19,19.2111814,73.091129,223.5294118
Vinayak Garden ,Dombivli East Thane Mumbai,41 Lac,4767,Super Built Up Area,2,2,4,0 to 1 Year,Ready To Move,860,Dombivli Thane,41,19.2111814,73.091129,482.3529412
Vinayak Garden ,Dombivli East Thane Mumbai,19.19 Lac,4785,Built Up Area,1,1,1,0 to 1 Year,Ready To Move,401,Dombivli Thane,19.2,19.2111814,73.091129,225.8823529
Manibhadra CHS ,Sector 16 Koparkhairane Navi Mumbai Mumbai,85 Lac,9444,Super Built Up Area,2,2,2,10+ Year,Ready To Move,900,Koparkhairane Navi-Mumbai,85,19.1058398,72.999981,1000
Unnamed Property,IC Colony Mumbai,1.87 Crore,30858,Carpet Area,2,2,1,0 to 1 Year,Ready To Move,606,Ic Colony,187,19.2474742,72.8480292,2200
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,2.59 Crore,26030,Carpet Area,3,3,18,0 to 1 Year,Ready To Move,995,Kandarpada Mumbai,259,19.2565945,72.8505837,3047.058824
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,2.35 Crore,23618,Carpet Area,3,3,3,0 to 1 Year,Ready To Move,995,Kandarpada Mumbai,235,19.2565945,72.8505837,2764.705882
Westin Eksar Gurukripa CHSL ,101 Borivali West Mumbai,1.95 Crore,31914,Carpet Area,2,2,12,0 to 1 Year,Ready To Move,611,Borivali Mumbai,195,19.2294561,72.8479905,2294.117647
Unnamed Property,000 Borivali West Mumbai,1.02 Crore,25500,Carpet Area,1,1,1,5 to 10 Year,Ready To Move,400,Borivali Mumbai,102,19.2294561,72.8479905,1200
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,3 Crore,24193,Super Built Up Area,3,3,6,0 to 1 Year,Ready To Move,1750,Malad Malad,300,19.1827254,72.86096607,3529.411765
Vighnahar Complex ,Kharghar Sector 12 Kharghar Navi Mumbai Mumbai,1.2 Crore,11707,Super Built Up Area,2,2,3,5 to 10 Year,Ready To Move,1025,Kharghar Navi-Mumbai,120,19.0448864,73.0643216,1411.764706
Unnamed Property,Sanpada Navi Mumbai Mumbai,1.3 Crore,16250,Super Built Up Area,2,2,6,10+ Year,Ready To Move,800,Sanpada Navi-Mumbai,130,19.0607337,73.0116775,1529.411765
Unnamed Property,Vashi Sector 10 Vashi Navi Mumbai Mumbai,68 Lac,12363,Built Up Area,1,1,1,10+ Year,Ready To Move,550,Vashi Navi-Mumbai,68,19.0800349,72.9985586,800
Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,2 Crore,11627,Super Built Up Area,3,3,6,5 to 10 Year,Ready To Move,1720,Kharghar Navi-Mumbai,200,19.038895,73.08039297,2352.941176
Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,1.4 Crore,11191,Super Built Up Area,2,2,6,5 to 10 Year,Ready To Move,1251,Kharghar Navi-Mumbai,140,19.038895,73.08039297,1647.058824
Bindiya CHS ,Sector 7 Koparkhairane Navi Mumbai Mumbai,1.2 Crore,17142,Carpet Area,2,2,3,10+ Year,Ready To Move,700,Koparkhairane Navi-Mumbai,120,19.1058398,72.999981,1411.764706
Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,1.16 Crore,16000,Carpet Area,2,2,2,10+ Year,Ready To Move,725,Koparkhairane Navi-Mumbai,116,19.1058398,72.999981,1364.705882
Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,94 Lac,13623,Carpet Area,2,2,1,5 to 10 Year,Ready To Move,690,Koparkhairane Navi-Mumbai,94,19.1058398,72.999981,1105.882353
Sai Siddhi Apartment ,Sector 8 Charkop Mumbai,1.2 Crore,19354,Carpet Area,2,2,3,10+ Year,Ready To Move,620,Charkop Mumbai,120,19.216097,72.8147689,1411.764706
Swaraj Planet ,Koparkhairane Navi Mumbai Mumbai,1.05 Crore,9704,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,1082,Koparkhairane Navi-Mumbai,105,19.10083655,72.99854111,1235.294118
Unnamed Property,Versova Mumbai,2.05 Crore,27333,Carpet Area,2,2,9,10+ Year,Ready To Move,750,Versova Mumbai,205,19.13025205,72.8213775,2411.764706
Unnamed Property,000 Malad West Mumbai,4.6 Crore,41181,Carpet Area,3,3,23,1 to 5 Year,Ready To Move,1117,Malad Mumbai,460,19.1840129,72.8412155,5411.764706
Kanakia Hollywood ,Versova Mumbai,2.85 Crore,39583,Carpet Area,2,2,11,1 to 5 Year,Ready To Move,720,Versova Mumbai,285,19.13025205,72.8213775,3352.941176
Bindra Complex ,101 Andheri East Mumbai,1.55 Crore,25409,Carpet Area,2,2,1,0 to 1 Year,Ready To Move,610,Andheri Mumbai,155,19.1158835,72.854202,1823.529412
Bindra Complex ,102 Andheri East Mumbai,1 Crore,25000,Carpet Area,1,2,10,0 to 1 Year,Ready To Move,400,Andheri Mumbai,100,19.1158835,72.854202,1176.470588
Unnamed Property,Versova Mumbai,2.2 Crore,29333,Carpet Area,2,2,4,10+ Year,Ready To Move,750,Versova Mumbai,220,19.13025205,72.8213775,2588.235294
Unnamed Property,302 Andheri East Mumbai,1.1 Crore,24444,Carpet Area,1,2,4,5 to 10 Year,Ready To Move,450,Andheri Mumbai,110,19.1158835,72.854202,1294.117647
Unnamed Property,Amboli Mumbai,2.11 Crore,18347,Carpet Area,3,3,12,10+ Year,Ready To Move,1150,Amboli Mumbai,211,19.1277074,72.8404126,2482.352941
Shah Complex 2 ,Sector 13 Sanpada Navi Mumbai Mumbai,1.15 Crore,20909,Carpet Area,2,2,5,10+ Year,Ready To Move,550,Sanpada Navi-Mumbai,115,19.0692829,73.0010786,1352.941176
Evershine Millennium Paradise ,Thakur Village Mumbai,1.05 Crore,17796,Built Up Area,1,2,3,10+ Year,Ready To Move,590,Thakur Village,105,19.2097189,72.8759248,1235.294118
SD Alpine ,Kandivali East Mumbai,3.45 Crore,18852,Super Built Up Area,3,3,7,1 to 5 Year,Ready To Move,1830,Kandivali Mumbai,345,19.2103809,72.8640837,4058.823529
Unnamed Property,Sector 12 Kharghar Navi Mumbai Mumbai,1.35 Crore,11250,Super Built Up Area,2,2,3,1 to 5 Year,Ready To Move,1200,Kharghar Navi-Mumbai,135,19.0448864,73.0643216,1588.235294
White City ,006 Kandivali East Mumbai,1.6 Crore,16000,Super Built Up Area,2,2,20,0 to 1 Year,Ready To Move,1000,Kandivali Mumbai,160,19.2103809,72.8640837,1882.352941
White City ,Kandivali East Mumbai,2.2 Crore,18333,Super Built Up Area,2,2,16,0 to 1 Year,Ready To Move,1200,Kandivali Mumbai,220,19.2103809,72.8640837,2588.235294
White City ,001 Kandivali East Mumbai,1.08 Crore,14117,Super Built Up Area,1,1,21,0 to 1 Year,Ready To Move,765,Kandivali Mumbai,108,19.2103809,72.8640837,1270.588235
White City ,005 Kandivali East Mumbai,165 Crore,1650000,Super Built Up Area,2,2,21,0 to 1 Year,Ready To Move,1000,Kandivali Mumbai,16500,19.2103809,72.8640837,194117.6471
White City ,006 Kandivali East Mumbai,1.6 Crore,16000,Super Built Up Area,2,2,20,0 to 1 Year,Ready To Move,1000,Kandivali Mumbai,160,19.2103809,72.8640837,1882.352941
White City ,007 Kandivali East Mumbai,1.15 Crore,15032,Super Built Up Area,1,2,25,0 to 1 Year,Ready To Move,765,Kandivali Mumbai,115,19.2103809,72.8640837,1352.941176
Gurukrupa Marina Enclave ,20th Malad West Mumbai,1.88 Crore,22380,Carpet Area,3,3,19,0 to 1 Year,Ready To Move,840,Th Malad,188,19.1840129,72.8412155,2211.764706
Aakash Srishthi ,Andheri East Mumbai,1.35 Crore,31000,Carpet Area,1,2,6,0 to 1 Year,Ready To Move,438,Andheri Mumbai,135,19.1158835,72.854202,1588.235294
Luxora Crystal Spires ,0000 Manpada Thane Mumbai,2.4 Crore,17910,Carpet Area,3,3,3,0 to 1 Year,Ready To Move,1340,Manpada Thane,240,19.2336292,72.976389,2823.529412
Luxora Crystal Spires ,0000 Manpada Thane Mumbai,2.6 Crore,17449,Carpet Area,3,3,3,0 to 1 Year,Ready To Move,1490,Manpada Thane,260,19.2336292,72.976389,3058.823529
Dosti Imperia ,Manpada Thane Mumbai,2.5 Crore,14285,Super Built Up Area,3,3,19,1 to 5 Year,Ready To Move,1750,Manpada Thane,250,19.2353185,72.9759496,2941.176471
Neelkanth Greens ,Manpada Thane Mumbai,2.5 Crore,13888,Super Built Up Area,3,3,26,5 to 10 Year,Ready To Move,1800,Manpada Thane,250,19.2353185,72.9759496,2941.176471
Unnamed Property,Patlipada Thane Mumbai,1.5 Crore,16666,Super Built Up Area,2,2,3,5 to 10 Year,Ready To Move,900,Patlipada Thane,150,19.2493501,72.9760694,1764.705882
Kalpataru Hills ,Manpada Thane Mumbai,1.11 Crore,12333,Super Built Up Area,2,2,8,5 to 10 Year,Ready To Move,900,Manpada Thane,111,19.2353185,72.9759496,1305.882353
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,1.85 Crore,14230,Super Built Up Area,3,2,11,1 to 5 Year,Ready To Move,1300,Manpada Thane,185,19.2353185,72.9759496,2176.470588
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,2.55 Crore,13421,Super Built Up Area,3,3,3,1 to 5 Year,Ready To Move,1900,Manpada Thane,255,19.2353185,72.9759496,3000
Neelkanth Greens ,Manpada Thane Mumbai,1.1 Crore,12222,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,900,Manpada Thane,110,19.2353185,72.9759496,1294.117647
Unnamed Property,Natwar Nagar Mumbai,63.5 Lac,28222,Carpet Area,1,1,11,1 to 5 Year,Ready To Move,225,Natwar Nagar,63.5,19.130319,72.8505689,747.0588235
Unnamed Property,Ulwe Navi Mumbai Mumbai,75 Lac,7653,Built Up Area,2,2,1,1 to 5 Year,Ready To Move,980,Ulwe Navi-Mumbai,75,18.97686135,73.02013111,882.3529412
Unnamed Property,Ulwe Navi Mumbai Mumbai,45 Lac,6617,Built Up Area,1,1,4,1 to 5 Year,Ready To Move,680,Ulwe Navi-Mumbai,45,18.97686135,73.02013111,529.4117647
Unnamed Property,Ulwe Navi Mumbai Mumbai,56 Lac,8888,Built Up Area,1,1,8,1 to 5 Year,Ready To Move,630,Ulwe Navi-Mumbai,56,18.97686135,73.02013111,658.8235294
Siddhivinayak Utopia ,Ulwe Navi Mumbai Mumbai,1.05 Crore,9083,Super Built Up Area,2,2,5,1 to 5 Year,Ready To Move,1156,Ulwe Navi-Mumbai,105,18.97686135,73.02013111,1235.294118
Acme Ozone ,Manpada Thane Mumbai,1.2 Crore,17142,Carpet Area,2,3,16,5 to 10 Year,Ready To Move,700,Manpada Thane,120,19.2353185,72.9759496,1411.764706
Neelkanth Greens ,Manpada Thane Mumbai,1.5 Crore,13636,Super Built Up Area,2,2,23,5 to 10 Year,Ready To Move,1100,Manpada Thane,150,19.2353185,72.9759496,1764.705882
Dhoot New Sonali CHS ,Malad West Mumbai,2.1 Crore,21000,Super Built Up Area,2,2,8,0 to 1 Year,Ready To Move,1000,Malad Mumbai,210,19.1840129,72.8412155,2470.588235
Dhoot New Sonali CHS ,Malad West Mumbai,2.79 Crore,31208,Carpet Area,3,3,9,0 to 1 Year,Ready To Move,894,Malad Mumbai,279,19.1840129,72.8412155,3282.352941
Unnamed Property,Goregaon West Mumbai,2.75 Crore,17515,Super Built Up Area,2,2,20,5 to 10 Year,Ready To Move,1570,Goregaon Mumbai,275,19.1633281,72.8411995,3235.294118
Kalpataru Pinnacle ,Goregaon West Mumbai,9.75 Crore,62903,Carpet Area,3,3,3,1 to 5 Year,Ready To Move,1550,Goregaon Mumbai,975,19.1633281,72.8411995,11470.58824
Unnamed Property,Kandivali West Mumbai,1.05 Crore,26250,Carpet Area,1,2,2,10+ Year,Ready To Move,400,Kandivali Mumbai,105,19.2084002,72.8422235,1235.294118
Unnamed Property,Borivali West Mumbai,2.25 Crore,28125,Carpet Area,2,2,3,10+ Year,Ready To Move,800,Borivali Mumbai,225,19.2294561,72.8479905,2647.058824
Unnamed Property,Mahavir Nagar Mumbai,3.25 Crore,40625,Carpet Area,3,3,7,10+ Year,Ready To Move,800,Mahavir Nagar,325,19.2147989,72.84672605,3823.529412
Anchorage Apartment ,Bandra West Mumbai South West Mumbai,3.41 Crore,53198,Carpet Area,2,2,6,10+ Year,Ready To Move,641,Bandra Mumbai,341,19.0750197,72.8356392,4011.764706
Unnamed Property,Bandra West Mumbai South West Mumbai,6.75 Crore,54086,Carpet Area,3,3,3,10+ Year,Ready To Move,1248,Bandra Mumbai,675,19.0750197,72.8356392,7941.176471
SD Epsilon Tower ,Thakur Village Mumbai,2.95 Crore,28175,Carpet Area,3,3,14,0 to 1 Year,Ready To Move,1047,Thakur Village,295,19.2097189,72.8759248,3470.588235
SD Epsilon Tower ,Thakur Village Mumbai,3.22 Crore,344569,Carpet Area,3,3,19,0 to 1 Year,Ready To Move,93.45,Thakur Village,322,19.2097189,72.8759248,3788.235294
SD Epsilon Tower ,Thakur Village Mumbai,2.25 Crore,29488,Carpet Area,2,2,37,0 to 1 Year,Ready To Move,763,Thakur Village,225,19.2097189,72.8759248,2647.058824
SD Alpine ,Kandivali East Mumbai,3.25 Crore,31340,Carpet Area,3,3,44,1 to 5 Year,Ready To Move,1037,Kandivali Mumbai,325,19.2103809,72.8640837,3823.529412
Unnamed Property,Balkum Thane Mumbai,1.85 Crore,20464,Carpet Area,2,2,20,0 to 1 Year,Ready To Move,904,Balkum Thane,185,19.22169075,72.98449242,2176.470588
Laabh Pehla Ghar Shubh Sanket Complex ,000 Ghodbunder Road Thane Mumbai,43 Lac,10462,Carpet Area,1,1,1,0 to 1 Year,Ready To Move,411,Road Thane,43,19.2122949,72.9773752,505.8823529
Unnamed Property,Balkum Thane Mumbai,1.9 Crore,19000,Carpet Area,2,2,16,0 to 1 Year,Ready To Move,1000,Balkum Thane,190,19.22169075,72.98449242,2235.294118
Rutu Enclave ,000 Anand Nagar Thane Mumbai,46 Lac,11192,Carpet Area,1,1,3,5 to 10 Year,Ready To Move,411,Nagar Thane,46,19.187628,73.0226162,541.1764706
Cosmos Jewels ,000 Anand Nagar Thane Mumbai,92 Lac,13142,Carpet Area,2,2,8,1 to 5 Year,Ready To Move,700,Nagar Thane,92,19.187628,73.0226162,1082.352941
Unnamed Property,601 Naupada Thane Mumbai,1.62 Crore,12960,Super Built Up Area,2,2,6,0 to 1 Year,Ready To Move,1250,Naupada Thane,162,19.2000627,72.9666732,1905.882353
Unnamed Property,701 Naupada Thane Mumbai,1.7 Crore,13600,Super Built Up Area,2,2,7,0 to 1 Year,Ready To Move,1250,Naupada Thane,170,19.2000627,72.9666732,2000
Unnamed Property,801 Naupada Thane Mumbai,1.25 Crore,10869,Super Built Up Area,1,2,8,0 to 1 Year,Ready To Move,1150,Naupada Thane,125,19.2000627,72.9666732,1470.588235
Unique Greens ,000 kavesar Thane Mumbai,63 Lac,12600,Carpet Area,1,2,12,1 to 5 Year,Ready To Move,500,Kavesar Thane,63,19.2623339,72.9722476,741.1764706
Unnamed Property,000 Thane West Thane Mumbai,55 Lac,12790,Carpet Area,1,2,15,1 to 5 Year,Ready To Move,430,Thane Thane,55,19.03160615,73.0142513,647.0588235
Unnamed Property,000 Thane West Thane Mumbai,54 Lac,12705,Carpet Area,1,2,5,1 to 5 Year,Ready To Move,425,Thane Thane,54,19.03160615,73.0142513,635.2941176
Imperial Heights ,Goregaon West Mumbai,3.4 Crore,23529,Carpet Area,3,4,24,1 to 5 Year,Ready To Move,1445,Goregaon Mumbai,340,19.1633281,72.8411995,4000
RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,72 Lac,10285,Super Built Up Area,1,1,6,5 to 10 Year,Ready To Move,700,Ghansoli Navi-Mumbai,72,19.1295931,72.99682636,847.0588235
Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,85 Lac,13076,Super Built Up Area,1,1,10,1 to 5 Year,Ready To Move,650,Ghansoli Navi-Mumbai,85,19.1229321,72.99130752,1000
Unnamed Property,Hiranandani Meadows Thane Mumbai,1.7 Crore,11333,Super Built Up Area,2,2,2,1 to 5 Year,Ready To Move,1500,Meadows Thane,170,19.2274375,72.97185296,2000
Omkar Alta Monte ,Malad East Mumbai,2.25 Crore,24456,Carpet Area,2,2,10,1 to 5 Year,Ready To Move,920,Malad Mumbai,225,19.1860219,72.8563181,2647.058824
Unnamed Property,Sector 21 Ghansoli Navi Mumbai Mumbai,75 Lac,11078,Super Built Up Area,1,1,4,0 to 1 Year,Ready To Move,677,Ghansoli Navi-Mumbai,75,19.1295931,72.99682636,882.3529412
The Park Residences ,Oshiwara Mumbai,4.5 Crore,40358,Carpet Area,3,3,15,0 to 1 Year,Ready To Move,1115,Oshiwara Mumbai,450,19.1502437,72.8342294,5294.117647
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,1.45 Crore,12236,Super Built Up Area,2,2,18,5 to 10 Year,Ready To Move,1185,Ghansoli Navi-Mumbai,145,19.1229321,72.99130752,1705.882353
RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,1.15 Crore,9200,Super Built Up Area,3,2,10,5 to 10 Year,Ready To Move,1250,Ghansoli Navi-Mumbai,115,19.1295931,72.99682636,1352.941176
RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,95 Lac,9047,Super Built Up Area,2,2,3,5 to 10 Year,Ready To Move,1050,Ghansoli Navi-Mumbai,95,19.1295931,72.99682636,1117.647059
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,98 Lac,11011,Super Built Up Area,2,2,14,1 to 5 Year,Ready To Move,890,Ghansoli Navi-Mumbai,98,19.1295931,72.99682636,1152.941176
